smiles,AZ_LogD7.4,LogP,LogP_chembl,SLogD,SLogP
CC(=O)c1ccc2cc(C(C)C(=O)OCC(=N)O)ccc2c1,,2.06,,1.65335,1.65342
CC(=O)c1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1,,2.05,,2.47149,2.47149
CC(=O)c1ccc2ccc3cccc4ccc1c2c34,,4.18,,4.54867,4.54867
CC(=O)c1ccc2cccccc1-2,,2.87,,2.44263,2.44263
CC(=O)c1ccc2ncccc2c1,,1.58,,1.85222,1.85243
CC(=O)c1ccc[nH]1,,0.93,,0.772825,0.772825
CC(=O)c1cccc(/N=N/N(C)C)c1,,,2.19,2.38416,2.38416
CC(=O)c1cccc(Br)c1,,2.47,,2.47939,2.47939
CC(=O)c1cccc(C#N)c1,,1.16,,1.2734,1.2734
CC(=O)c1cccc(C(=O)O)c1,,1.56,,-1.43447,1.56357
CC(=O)c1cccc(C(C)=O)c1,,1.43,,1.54022,1.54022
CC(=O)c1cccc(C)c1,,2.15,,2.03205,2.03205
CC(=O)c1cccc(CNc2nc[nH]c3ncnc2-3)c1,,1.73,,1.22071,1.22156
CC(=O)c1cccc(Cl)c1,,2.51,,2.28416,2.28416
CC(=O)c1cccc(F)c1,,1.77,,1.75835,1.75835
CC(=O)c1cccc(N)c1,,0.83,,1.12465,1.12476
CC(=O)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,,-0.22,,-2.42981,0.150158
CC(=O)c1cccc(NC(=O)Cc2ccccc2)c1,,2.62,,2.48242,2.4825
CC(=O)c1cccc(NC(=O)N(C)C)c1,,0.95,,1.22759,1.22769
CC(=O)c1cccc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)c1,,1.46,,1.00057,2.60811
CC(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,,2.78,,0.351493,2.75406
CC(=O)c1cccc(Nc2ccccc2C(=O)O)c1,,4.07,,1.02132,4.00245
CC(=O)c1cccc(O)c1,,1.39,,1.49704,1.50325
CC(=O)c1cccc(OC(=O)N(C)C)c1,,1.18,,1.25725,1.25725
CC(=O)c1cccc(OCC(=O)O)c1,,0.98,,-1.67193,1.17076
CC(=O)c1cccc(S(N)(=O)=O)c1,,0.21,,0.28824,0.290748
CC(=O)c1cccc(SC(N(C)C)N(C)C)c1,,-0.88,,0.837889,1.74596
CC(=O)c1cccc([N+](=O)[O-])c1,,1.42,,1.59319,1.59319
CC(=O)c1ccccc1,,1.58,1.58,1.60109,1.60109
CC(=O)c1ccccc1/N=N/N(C)C,,,2.19,2.38175,2.38176
CC(=O)c1ccccc1Br,,2.28,,2.34752,2.34752
CC(=O)c1ccccc1C(=O)O,,0.81,,-1.86466,1.36161
CC(=O)c1ccccc1COc1cccc2c1C(=O)c1c(O)cccc1C2,,,3.49,4.74529,4.7851
CC(=O)c1ccccc1Cl,,2.09,,2.20502,2.20502
CC(=O)c1ccccc1N,,1.63,,1.37707,1.37708
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,,2.65,,2.26505,2.26551
CC(=O)c1ccccc1NCC#N,,1.58,,1.40575,1.40575
CC(=O)c1ccccc1NCCO,,1.59,,1.1999,1.19991
CC(=O)c1ccccc1O,,1.92,,1.80968,1.8114
CC(=O)c1ccccc1OC(=O)N(C)C,,0.93,,1.18947,1.18947
CC(=O)c1ccccc1OCC(=O)O,,1.25,,-1.79777,1.06484
CC(=O)c1ccccc1OCC(O)CN1CCN(c2ccc(F)cc2)CC1,,,2.67,2.74285,2.81093
CC(=O)c1ccccc1SC(N(C)C)N(C)C,,-0.81,,0.86936,1.71015
CC(=O)c1ccccc1[N+](=O)[O-],,1.28,,1.55091,1.55091
CC(=O)c1ccccn1,,0.85,,0.608822,0.608823
CC(=O)c1cccnc1,,0.43,,0.509823,0.509888
CC(=O)c1ccco1,,0.52,,0.85903,0.85903
CC(=O)c1cccs1,,1.25,,1.38188,1.38188
CC(=O)c1ccnc2cc(Cl)ccc12,,2.62,,2.52619,2.52619
CC(=O)c1ccncc1,,0.48,,0.54198,0.542019
CC(=O)c1ccsc1,,1.24,,1.32882,1.32882
CC(=O)c1cn(C)c2ccccc12,,1.95,,1.88224,1.88224
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,3.2,,,1.87827,1.87827
CC(=O)c1cnc2ccccc2c1,,1.76,,1.84186,1.84189
CC(=O)c1cnccn1,,0.2,,-0.237222,-0.237222
CC(=O)c1csc(-c2ccc(C(C)C(=O)O)cc2)n1,,2.65,,-0.828187,2.28205
CC(=O)c1csc2ccccc12,,2.78,,2.65689,2.65689
CC(=O)c1nc([N+](=O)[O-])n(CC(C)O)c1C,,0.37,,0.243219,0.243219
CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@H]3[C@H]4CC[C@H](C4)[C@@H]3C2=O)CC1,3.01,,,2.25626,2.25633
CC(=O)c1no[n+]([O-])c1C,,0.8,,0.677875,0.677875
CC(=O)c1noc(C)c1C(=O)Nc1nccs1,1.94,,,0.795183,0.809171
CC(=O)c1sc(S(C)=O)c(-c2ccc(Cl)cc2)c1C,,3.82,,2.73249,2.73249
CC(=O)c1sc(S(C)=O)c(-c2ccc(Cl)cc2)c1N,,3.18,,2.13499,2.13499
CC(=O)c1sc(S(C)=O)c(-c2ccccc2)c1C,,3.26,,2.18223,2.18223
CC(=O)c1sc(S(C)=O)c(C#N)c1-c1ccc(Cl)cc1,,3.31,,2.17076,2.17076
CC(=O)n1c(O)ncc(F)c1=O,,-0.34,,-0.856727,-0.0195548
CC(=O)n1cc(CC(NC(=O)CC2NC(=O)C3C4CCC(CC4)N3C2=O)C(=O)NC(Cc2ccccc2)C(=O)N(C)Cc2ccccc2)c2ccccc21,,3.69,,3.54958,3.54958
CC(=O)n1ccnc1,,-0.34,,-0.488159,-0.48782
CC(=O)n1ncc2c(=O)[nH]cnc21,,-0.35,,-0.518816,-0.493886
CC(=S)N(c1ccccc1)c1ccccc1,,2.83,,3.28458,3.28458
CC(=S)Nc1ccccc1,,1.71,,1.87047,1.87047
CC(Br)C(=O)O,,0.92,,-2.01864,0.88741
CC(Br)CCl,,,2.16,2.27038,2.27038
CC(C#Cc1ccccc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,1.4,,,2.08916,2.18018
CC(C#N)c1ncc([N+](=O)[O-])[nH]1,,-0.07,,-0.190903,0.26753
CC(C(=N)O)c1ccc(-n2sc3ccccc3c2=O)cc1,,2.07,,2.1801,2.1801
CC(C(=N)O)n1nnc2ccccc21,,0.35,,0.503538,0.504408
CC(C(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21)c1ccc(C(=O)c2ccccc2)cc1,,,4.46,5.53096,5.59772
CC(C(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21)c1ccccc1,,,4.43,4.62028,4.70054
CC(C(=O)CCN(C)C)N1C(=O)C2CC=CCC2C1=O,,0.77,,-0.127973,0.878695
CC(C(=O)N1CCc2ccccc2C1)N1C(=O)c2ccccc2C1=O,2.47,,,2.03288,2.03288
CC(C(=O)NCCO)n1ccnc1[N+](=O)[O-],,-1.16,,-0.835493,-0.835493
CC(C(=O)Nc1ccc(Cl)cc1)c1ncc(C(F)(F)F)cc1Cl,4.19,,,4.50959,4.50975
CC(C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1)C(F)(F)F,,,3.71,3.37168,3.37379
CC(C(=O)O)(c1ccccc1)c1ccccc1,,2.69,,0.0772432,3.25812
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,,2.9,,0.385377,3.51439
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.85,4.16,,0.906214,3.82746
CC(C(=O)O)c1ccc(-c2nc(-c3ccccc3)cs2)cc1,,4.95,,1.00576,4.07438
CC(C(=O)O)c1ccc(-c2nc(C(=N)O)cs2)cc1,,2.17,,-1.21536,1.37406
CC(C(=O)O)c1ccc(-c2nc(C(=O)N(C)C)cs2)cc1,,2.15,,-0.969553,2.11523
CC(C(=O)O)c1ccc(-c2nc(C(F)(F)F)cs2)cc1,,3.78,,0.500606,3.76624
CC(C(=O)O)c1ccc(-c2nc(CO)cs2)cc1,,2.25,,-1.34099,1.65003
CC(C(=O)O)c1ccc(-c2nc3c(s2)CCCC3)cc1,,4.41,,0.630051,3.70087
CC(C(=O)O)c1ccc(-c2nccs2)c(Br)c1,,3.35,,0.00446035,3.09845
CC(C(=O)O)c1ccc(-c2nccs2)c(C(F)(F)F)c1,,3.06,,-0.125521,3.2139
CC(C(=O)O)c1ccc(-c2nccs2)c(Cl)c1,,3.39,,0.00213462,3.12642
CC(C(=O)O)c1ccc(-c2nccs2)c(F)c1,,3.14,,-0.409578,2.79487
CC(C(=O)O)c1ccc(-c2nccs2)c(N)c1,,2.45,,-1.09349,1.66787
CC(C(=O)O)c1ccc(-c2nccs2)c(O)c1,,3.18,,-0.851735,2.32071
CC(C(=O)O)c1ccc(-c2nccs2)c([N+](=O)[O-])c1,,2.06,,-1.17199,2.03195
CC(C(=O)O)c1ccc(-c2nccs2)cc1,,2.79,,-0.714607,2.44133
CC(C(=O)O)c1ccc(N2CC3=C(CCCC3)C2=O)cc1,,3.07,,-0.123321,2.87753
CC(C(=O)O)c1ccc(N2CC3CCCCC3C2=O)cc1,,3.15,,-0.0314214,2.92336
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,,2.77,,-0.229414,2.85015
CC(C(=O)O)c1ccc(OCc2ccccc2)c(F)c1,,3.61,,0.876426,3.72828
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1.3,3.23,,1.09195,4.0543
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-0.12,3.12,,-0.00372336,2.92873
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.71,,,0.659947,3.4417
CC(C(=O)OC1CCCCC1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,2.82,,2.03039,3.03425
CC(C(N)=O)n1nc2ccccc2n1,,0.86,,0.773609,0.773609
CC(C(O)c1ccccc1)N(C)C,,1.7,,0.0531643,1.5955
CC(C(c1ccccc1)c1ccccc1)[N+](=O)[O-],,3.91,,3.26028,3.97563
CC(C)(/N=C(\O)C(Br)C(C)(C)C)c1ccccc1,,3.47,,3.81649,3.81649
CC(C)(C#N)N=NC(C)(C)C#N,,1.1,,1.77878,1.77878
CC(C)(C#N)Nc1nc(Cl)nc(NC2CC2)n1,,1.99,,2.24972,2.24972
CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@H]3CCCC[C@@H]3C(=O)NC3(C#N)CC3)CC2)s1,1.9,,,1.75125,1.75152
CC(C)(C(=O)N[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O)c1cccc2ccccc12,,,0.085,0.70898,0.70898
CC(C)(C(=O)Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,2.96,,,3.82838,3.83122
CC(C)(C(=O)O)C(=O)O,,0.39,,-3.18971,0.0721918
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.42,,,3.06922,3.09687
CC(C)(C(=O)O)n1nc2ccccc2n1,,0.64,,-1.41079,1.8912
CC(C)(C(=O)O)n1nnc2ccccc21,,-0.2,,-1.79026,1.40259
CC(C)(C(=O)c1cccnc1)c1cccnc1,1.45,,,2.0983,2.09927
CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,2.32,,,2.20628,2.20663
CC(C)(C(N)=O)n1nc2ccccc2n1,,1.16,,1.21665,1.21665
CC(C)(C(N)=O)n1nnc2ccccc21,,0.76,,0.764795,0.764796
CC(C)(C)/C(O)=N/N1CC=CCC1,,1.03,,2.16395,2.16598
CC(C)(C)/C(O)=N\C(CO)C(O)c1ccc([N+](=O)[O-])cc1,,1.33,,1.34712,1.34714
CC(C)(C)/N=C(\O)NS(=O)(=O)c1ccccc1,,1.95,,0.985119,1.45027
CC(C)(C)/[N+]([O-])=C/c1ccc(Br)cc1,,2,,2.12306,2.12306
CC(C)(C)/[N+]([O-])=C/c1ccc(C(=O)O)cc1,,1.1,,-1.60274,1.54979
CC(C)(C)/[N+]([O-])=C/c1ccc(Cl)cc1,,2.4,,2.051,2.051
CC(C)(C)/[N+]([O-])=C/c1ccc(F)cc1,,1.42,,1.55078,1.55078
CC(C)(C)/[N+]([O-])=C/c1ccc(O)cc1,,0.6,,1.23665,1.24196
CC(C)(C)/[N+]([O-])=C/c1ccc([N+](=O)[O-])cc1,,1.4,,1.38201,1.38201
CC(C)(C)/[N+]([O-])=C/c1cccc(O)c1,,1,,1.2134,1.2181
CC(C)(C)/[N+]([O-])=C/c1cccc([N+](=O)[O-])c1,,1.3,,1.30385,1.30385
CC(C)(C)/[N+]([O-])=C/c1ccccc1O,,1.3,,1.09505,1.12989
CC(C)(C)/[N+]([O-])=C/c1ccncc1,,0.4,,0.440105,0.441284
CC(C)(C)/[N+]([O-])=C\c1ccccc1[N+](=O)[O-],,0.8,,1.24657,1.24657
CC(C)(C)/[N+]([O-])=N/C#N,,1.4,,1.13889,1.13889
CC(C)(C)Br,,,2.45,2.96232,2.96232
CC(C)(C)C,,3.11,,3.33065,3.33065
CC(C)(C)C#N,,1.08,,1.26382,1.26382
CC(C)(C)C(=O)C(C#N)N=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,,5.44,,1.98139,4.67156
CC(C)(C)C(=O)C(C#N)N=Nc1cc(C(F)(F)F)ccc1Cl,,5.31,,2.13565,4.5478
CC(C)(C)C(=O)C(C#N)N=Nc1cc(Cl)c(Cl)cc1Cl,,5.86,,2.12876,4.8474
CC(C)(C)C(=O)C(C#N)N=Nc1ccc(Cl)cc1C(F)(F)F,,5.67,,1.99542,4.53511
CC(C)(C)C(=O)C(C#N)N=Nc1cccc(Cl)c1,,4.62,,1.20918,3.7455
CC(C)(C)C(=O)C(C)(C)C,,3,,3.1667,3.1667
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,,2.77,,2.59144,2.59145
CC(C)(C)C(=O)CC(C(O)C(C)(C)C)n1cncn1,,1.95,,2.1756,2.17561
CC(C)(C)C(=O)CC1(O)Oc2ccccc2N=C1C=C(O)C(C)(C)C,,,7.84,2.45021,3.14112
CC(C)(C)C(=O)NCc1ccc(NC(=O)N2CCCC(O)(c3ccc(Cl)c(Cl)c3)C2)cc1,3.93,,,4.34888,4.34892
CC(C)(C)C(=O)NN,,-0.35,,-0.082529,-0.0824688
CC(C)(C)C(=O)N[C@H]1CCCCNC1=O,0.58,,,0.708425,0.708425
CC(C)(C)C(=O)Nc1ccc(Cl)c(Cl)c1,,3.88,,3.98402,3.98407
CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,2.83,,,3.2147,3.21485
CC(C)(C)C(=O)Nc1ccc2nn(C3CCCC3)nc2c1,,3.4,,3.78023,3.78028
CC(C)(C)C(=O)Nc1ccccc1,,1.99,,2.55652,2.55655
CC(C)(C)C(=O)O,,1.48,,-1.02769,1.34262
CC(C)(C)C(=O)OCC1CCC(n2cnc3c(O)ncnc32)O1,,0.6,,1.36048,1.37118
CC(C)(C)C(=O)OCC1OC(n2cc(I)c(O)nc2=O)CC1O,,1.34,,0.773404,0.963486
CC(C)(C)C(=O)OCCOCn1cnc2c(O)nc(=N)[nH]c21,,0.3,,0.905245,0.91465
CC(C)(C)C(=O)OCOC(=O)C1=C(CSc2nncs2)CSC2C(NC(=O)Cn3cnnn3)C(=O)N12,,1.45,,0.978843,0.978843
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,,,2.48,1.83057,1.83092
CC(C)(C)C(=O)OCOc1ccccc1/C(O)=N/CN1CCOCC1,,1.81,,2.25169,2.25171
CC(C)(C)C(=O)OCOc1ccccc1C(N)=O,,2,,1.89069,1.89072
CC(C)(C)C(=O)OCn1cc(F)c(O)nc1=O,,0.66,,0.491686,1.27147
CC(C)(C)C(=O)OCn1cc2c(O)ncnc2n1,,0.79,,0.687321,0.696684
CC(C)(C)C(=O)OCn1ncc2c(O)ncnc21,,1.07,,0.936499,0.952646
CC(C)(C)C(=O)Oc1c(Oc2ccccc2)c(Oc2ccccc2)c(OC(=O)C(C)(C)C)c2cc(Cl)ccc12,,,8.7,8.64431,8.64431
CC(C)(C)C(=O)Oc1c(Oc2ccccc2)c(Oc2ccccc2)c(OC(=O)C(C)(C)C)c2ccccc12,,,7.8,8.08548,8.08548
CC(C)(C)C(=O)SCCOP(=O)(COCCn1cnc2c(N)ncnc21)OCCSC(=O)C(C)(C)C,,,3.41,3.49732,3.49768
CC(C)(C)C(=O)c1ccc2n1CCC2C(=O)O,,,2.6,-1.17714,1.99243
CC(C)(C)C(=O)c1ccccc1,,3,,3.03744,3.03744
CC(C)(C)C(COc1ccc(-c2ccccc2)cc1)OC(=O)n1ccnc1,,4.56,,5.02144,5.02218
CC(C)(C)C(COc1ccc(-c2ccccc2)cc1)OC(=S)n1ccnc1,,6.06,,5.72934,5.73133
CC(C)(C)C(COc1ccc(Br)cc1)OC(=O)n1ccnc1,,4.37,,4.25103,4.25169
CC(C)(C)C(COc1ccc(Br)cc1)OC(=S)n1ccnc1,,5.11,,4.82409,4.82554
CC(C)(C)C(COc1ccc(C#N)cc1)OC(=O)n1ccnc1,,3.15,,3.13745,3.13812
CC(C)(C)C(COc1ccc(C(F)(F)F)cc1)OC(=O)n1ccnc1,,4.15,,4.16067,4.16131
CC(C)(C)C(COc1ccc(Cl)cc1)OC(=O)n1ccnc1,,4.19,,4.15919,4.15988
CC(C)(C)C(COc1ccc(Cl)cc1)OC(=S)n1ccnc1,,4.96,,4.75133,4.75272
CC(C)(C)C(COc1ccc(F)cc1)OC(=O)n1ccnc1,,3.68,,3.71082,3.71158
CC(C)(C)C(COc1ccc(F)cc1)OC(=S)n1ccnc1,,4.37,,4.36279,4.36459
CC(C)(C)C(COc1ccc(I)cc1)OC(=O)n1ccnc1,,4.3,,4.55604,4.55669
CC(C)(C)C(COc1ccc(S(C)(=O)=O)cc1)OC(=O)n1ccnc1,,2.59,,2.30041,2.3011
CC(C)(C)C(COc1ccc([N+](=O)[O-])cc1)OC(=O)n1ccnc1,,3.35,,3.11254,3.11327
CC(C)(C)C(COc1ccccc1)OC(=O)n1ccnc1,,3.58,,3.46613,3.46696
CC(C)(C)C(COc1ccccc1)OC(=S)n1ccnc1,,4.27,,4.09954,4.10169
CC(C)(C)C(N)=O,,,0.15,0.234553,0.234553
CC(C)(C)C(N)Cc1ccccc1,,2.91,,0.776321,2.91229
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,,3.7,,3.59205,3.5921
CC(C)(C)C(O)/C(=C/c1ccc(Cl)cc1Cl)n1cncn1,3.8,,,3.93174,3.93176
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1,,3.67,,3.35708,3.35709
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,,4.3,,3.93174,3.93176
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,,3.2,,3.12845,3.12848
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,,3.8,,3.66518,3.6652
CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,,4.16,,3.73121,3.73123
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,,2.9,,2.78033,2.78034
CC(C)(C)C1(C)C(O)=NC(=O)N=C1O,,0.8,,-1.43938,0.630697
CC(C)(C)C1(Cl)C(O)=NC(=O)N=C1O,,0.82,,-0.737889,0.641228
CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,,5.2,,4.48661,4.64265
CC(C)(C)C1=CC(=C/C=C/C2=CC(C(C)(C)C)=[SeH]C(C(C)(C)C)=C2)C=C(C(C)(C)C)S1,,,2.39,10.1788,10.1788
CC(C)(C)C1=CC(=C/C=C/C2=CC(C(C)(C)C)=[SeH]C(C(C)(C)C)=C2)C=C(C(C)(C)C)[Se]1,,,1.92,11.7634,11.7634
CC(C)(C)C1=CC(=C/C=C/C2=CC(C(C)(C)C)=[TeH]C(C(C)(C)C)=C2)C=C(C(C)(C)C)O1,,,2.41,9.72359,9.72359
CC(C)(C)C1=CC(=C/C=C/C2=CC(C(C)(C)C)=[TeH]C(C(C)(C)C)=C2)C=C(C(C)(C)C)[Se]1,,,2.41,12,12
CC(C)(C)C1=CC(=C/C=C/C2=CC(C(C)(C)C)=[TeH]C(C(C)(C)C)=C2)C=C(C(C)(C)C)[Te]1,,,2.02,12,12
CC(C)(C)C1=CC(=C/C=C/c2cc(C(C)(C)C)[o+]c(C(C)(C)C)c2)C=C(C(C)(C)C)O1,,,2.51,5.83136,5.83136
CC(C)(C)C1=CC(=C/C=C/c2cc(C(C)(C)C)[s+]c(C(C)(C)C)c2)C=C(C(C)(C)C)O1,,,2.26,6.11378,6.11378
CC(C)(C)C1=CC(=C/C=C/c2cc(C(C)(C)C)[s+]c(C(C)(C)C)c2)C=C(C(C)(C)C)S1,,,1.97,6.89311,6.89311
CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,,4.42,,3.68779,3.68779
CC(C)(C)C1=Nc2ccc(Cl)cc2S(=O)(=O)N1,,2.4,,2.25436,2.26823
CC(C)(C)C1C(O)=NC(=O)N=C1O,,0.28,,-1.23931,0.383886
CC(C)(C)C1CCC(NC(=O)N(CCCl)N=O)CC1,,,4.66,4.09085,4.09097
CC(C)(C)C1CCC(O)CC1,,3.23,,3.24259,3.24259
CC(C)(C)C1CCCC(NC(=O)N(CCCl)N=O)C1,,,4.6,4.16554,4.16568
CC(C)(C)C1CCCCC1,,5.04,,5.3146,5.3146
CC(C)(C)C1CCN(N=O)CC1,,2.54,,2.63037,2.63037
CC(C)(C)C1COc2c(NCCc3ccccc3)ccc(C(=O)c3ccccc3)c2N1,,,5.28,6.30479,6.30485
CC(C)(C)C1CS(=O)(=O)C(C)(c2ccc(C#N)cc2)S(=O)(=O)C1,,,0.351,1.96409,1.96409
CC(C)(C)C1CS(=O)(=O)C(C)(c2ccc(I)cc2)S(=O)(=O)C1,,,1.952,3.15144,3.15144
CC(C)(C)C1CS(=O)(=O)C(c2ccc(F)cc2)S(=O)(=O)C1,,,0.43,-0.807954,2.22158
CC(C)(C)C1CSC(c2ccc(C#N)cc2)SC1,,,4.375,4.2808,4.2808
CC(C)(C)C1CSC(c2ccc(F)cc2)SC1,,,4.974,5.27415,5.27415
CC(C)(C)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,,0.36,,1.27626,1.28293
CC(C)(C)CC(N)C(=O)O,,-1.42,,-1.40815,-1.40592
CC(C)(C)CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,,2.71,,2.7945,2.79894
CC(C)(C)CCCCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)O)n1,,,3.41,2.54872,5.20883
CC(C)(C)CCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)O)n1,,,1.23,1.63339,4.33001
CC(C)(C)CN=C(O)C=Cc1ccc([N+](=O)[O-])o1,,2.61,,2.37268,2.37276
CC(C)(C)CNc1nc(C#N)nc(N2CCOCC2)c1N,3.08,,,2.76751,2.76762
CC(C)(C)CO,,1.31,,1.13556,1.13556
CC(C)(C)Cl,,,2.44,2.69828,2.69828
CC(C)(C)Cn1c(CN2C(=O)CC3(CCNCC3)C2=O)cc2cnc(C#N)nc21,0.75,,,-0.933666,1.45982
CC(C)(C)N,,0.4,0.72,-1.41661,0.514467
CC(C)(C)N(/N=C(\O)c1cccc(Cl)c1)C(=O)c1ccccc1Cl,,3.49,,3.73891,5.33728
CC(C)(C)N(/N=C(\O)c1cccc(F)c1)C(=O)c1ccccc1Cl,,2.88,,3.56151,5.04926
CC(C)(C)N(/N=C(\O)c1ccccc1)C(=O)c1c(F)cccc1Cl,,2.34,,3.54365,5.16244
CC(C)(C)N(/N=C(\O)c1ccccc1)C(=O)c1cc(F)c(F)c(F)c1F,,3.44,,3.2836,5.18149
CC(C)(C)N(/N=C(\O)c1ccccc1Cl)C(=O)c1ccccc1Cl,,2.75,,3.73949,5.3867
CC(C)(C)N(/N=C(\O)c1ccccc1F)C(=O)c1ccccc1Cl,,2.63,,3.31711,5.08508
CC(C)(C)N(CC(O)COc1ccccc1)CC(O)COc1ccccc1,,3.99,,2.4987,3.05619
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,,3.22,,2.99766,3.00023
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1Cl,,3.51,,3.46465,3.46801
CC(C)(C)N(NC(=O)c1ccc(F)cc1)C(=O)c1ccccc1Cl,,2.87,,3.06206,3.06529
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1c(Cl)cccc1Cl,,2.56,,3.40547,3.40854
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1c(F)c(F)c(F)c(F)c1F,,3.25,,3.21842,3.22226
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1c(F)cccc1F,,2.16,,2.73169,2.73374
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cc(Cl)ccc1Cl,,3.36,,3.47406,3.47695
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Br)cc1,,3.66,,3.04783,3.04949
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(C#N)cc1,,2.5,,2.36135,2.36337
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(C(F)(F)F)cc1,,3.77,,3.22498,3.22684
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)c(Cl)c1,,4.25,,3.49924,3.50172
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,,3.42,,2.99068,2.99266
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1Cl,,3.55,,3.55799,3.5605
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(F)cc1,,2.85,,2.6264,2.62855
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(I)cc1,,3.78,,3.30688,3.3084
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,,2.63,,2.58767,2.5899
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(Br)c1,,3.49,,2.9642,2.9661
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(C#N)c1,,2.34,,2.21592,2.21836
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(C(F)(F)F)c1,,3.61,,3.30239,3.30467
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(Cl)c1,,3.28,,2.89167,2.89387
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(Cl)c1Cl,,3.41,,3.38948,3.3924
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(F)c1,,2.78,,2.57798,2.58026
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(I)c1,,3.72,,3.19582,3.19764
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc([N+](=O)[O-])c1,,2.73,,2.67698,2.67997
