"ID",Status,Supplier,LogP_exp,pH of analysis,smiles
ZINC16247975,Validated,ChemBridge,3.93,5,CC1=C(C[C@H]2[C@@H](C1)C(=O)N(C2=O)c3cccc(c3)Br)C
ZINC16247975,Validated,ChemBridge,3.93,5,CC1=C(C[C@@H]2[C@@H](C1)C(=O)N(C2=O)c3cccc(c3)Br)C
ZINC16247975,Validated,ChemBridge,3.93,5,CC1=C(C[C@H]2[C@H](C1)C(=O)N(C2=O)c3cccc(c3)Br)C
ZINC00115579,Validated,ChemBridge,2.3,"7,3",c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3cccnc3
ZINC01042205,Validated,Maybridge (Chemie Brunschwig),4.31,"10,5",CCc1ccc2c(c1)cc3c(n2)c4c(n(c(=O)n(c4=O)C)C)n(c3=O)c5ccccc5
ZINC01042477,Validated,Maybridge (Chemie Brunschwig),6.04,5,CCOC(=O)C1=C(NC(=O)N[C@H]1c2ccc(o2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C
ZINC01043629,Validated,Maybridge (Chemie Brunschwig),6.06,5,c1cc(ccc1c2nc(on2)C(F)(F)F)c3nc(on3)C(F)(F)F
ZINC01043630,Validated,Maybridge (Chemie Brunschwig),5.56,"6,5",Cc1c(c(n(n1)c2ccccc2)C)c3nnc(o3)c4c(nn(c4C)c5ccccc5)C
ZINC01043645,Validated,Maybridge,4.25,"7,3",Cc1cc(n(n1)c2ccc(cc2)n3cccc3/C=C(\C#N)/S(=O)(=O)C)C
ZINC01112071,Validated,ChemBridge,4.67,2,c1cc(sc1)/C=C/C(=O)Nc2ccc(cc2)I
ZINC01047054,Validated,Maybridge (Chemie Brunschwig),6.58,"10,5",CC(C)(C)c1cc(n(n1)Cc2ccccc2)c3nc(no3)c4ccc(cn4)C(F)(F)F
ZINC00988163,Validated,Specs,4.42,5,c1ccc2c(c1)cn(n2)c3ccc(cc3)C(F)(F)F
ZINC01048063,Validated,Maybridge,4.55,5,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N2CC[C@@H]3c4ccccc4C(=O)N3C2
ZINC01048892,Validated,Maybridge,4.43,5,C[C@H]1CN(C[C@H](O1)C)C(=[NH2+])NS(=O)(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F
ZINC01048957,Validated,Maybridge (Chemie Brunschwig),4.7,"10,5",Cc1cc(n(n1)C2=NCCN2S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C
ZINC01052739,Validated,ChemBridge,5.26,5,CN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)N(c4ccc(cc4)OC)C(=O)C5CCCCC5
ZINC01055318,Validated,ChemBridge,0.3,"7,3",c12c(non1)NC3C(N2)Nc4c(non4)N3
ZINC03180157,Validated,Chemical Block,4.04,"6,5",CC(=O)Oc1ccc(cc1OC)/C=C(/C(=O)Nc2cccc(c2)CO)\NC(=O)c3ccccc3
ZINC00102777,Validated,ChemBridge,2.45,"7,3",COc1cccc(c1)NC(=O)CSc2nnc3n2cccc3
ZINC01061488,Validated,Ambinter,4.5,5,c1ccc(c(c1)[C@H]2[C@@H]3CSCC=C3C(=C(C2(C#N)C#N)N)C#N)Cl
ZINC01062339,Validated,ChemBridge,4.55,10,CC[C@@H]1CCCCN1C(=O)[C@H]2CC(=NO2)c3cc(c(cc3OC)OC)Cl
ZINC01064005,Validated,ChemBridge,2.86,5,CCc1ccc(cc1)N2[C@H]3CS(=O)(=O)C[C@@H]3N(C2=S)CC=C
ZINC18213338,Validated,ChemBridge,3.83,10,c1ccc2c(c1)C3c4ccccc4C2[C@@H]5[C@H]3C(=O)N(C5=O)c6nccs6
ZINC01067979,Validated,ChemBridge,5.14,"7,3",c1ccc(cc1)C(=O)c2ccc(c(c2)F)N3CCN(CC3)C(=O)c4c(cccc4F)F
ZINC01074103,Validated,Vitas‐M,4.82,5,Cc1cccc(c1NC(=O)CSc2nnnn2c3ccc(cc3)OC(F)(F)F)C
ZINC01074408,Validated,ChemBridge,5.09,5,CC(C)CC(=O)N1c2c(cccc2OC)-c3c(ssc3=S)C1(C)C
ZINC01075720,Validated,Chemical Block,3.62,"10,5",Cc1nc2c(c(n1)N(C)C)sc(=S)n2c3ccccc3
ZINC01076516,Validated,Chemical Block,5.49,10,CCOC(=O)C1=C(N2C(=O)[C@@H](SC2=C([C@H]1c3ccc(cc3Cl)Cl)C(=O)OCC)C)N
ZINC01078468,Validated,Ambinter,"4.00",5,Cn1c2c(c(=O)n(c1=O)C)n(c(n2)SCC(=O)NCCc3ccc(c(c3)OC)OC)Cc4ccccc4F
ZINC01087888,Validated,Vitas‐M,2.71,"7,3",CCOC(=O)C1CCN(CC1)S(=O)(=O)c2nc3nc(cc(n3n2)C)C
ZINC01089589,Validated,Ambinter,2.28,7,Cc1ccc(cc1Br)N[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O
ZINC01089649,Validated,ChemBridge,5.22,5,COc1ccc(cc1)S(=O)(=O)n2c3ccccc3n(c2=O)S(=O)(=O)c4ccc(cc4)OC
ZINC01060140,Validated,Pharmeks,5.72,"10,5",CN1C(=O)N([C@]2([C@@]1(Nn3c(=O)/c(=C/c4ccc(cc4)Br)/sc3=N2)c5ccccc5)c6ccccc6)C
ZINC01102279,Validated,ChemBridge,2.78,5,c1ccc(cc1)n2c(=O)n(n(c2=O)CC(=O)N3CCCCC3)CC(=O)N4CCCCC4
ZINC01103619,Validated,ChemBridge,5.87,5,c1ccc(cc1)Sc2c(c(=O)n3ccccc3n2)/C=C\4/C(=O)N(C(=S)S4)C[C@H]5CCCO5
ZINC01105326,Validated,ChemBridge,3.77,"6,5",CC(=O)OC([C@@]12C=C[C@@H](O1)[C@@H]3[C@H]2C(=O)N(C3=O)c4ccc(c(c4)C(=O)OC)Cl)OC(=O)C
ZINC01107975,Validated,Life Chemicals,3.08,"2,0",CC[C@H](C(=O)Oc1ccc2c(c1)oc(=O)c3c2CCCC3)NS(=O)(=O)c4ccc(cc4)C
ZINC09313347,Validated,ChemBridge,4.21,10,Cc1cc2c(cc1C)NC3=C([C@@H](N2)c4cc(c(c(c4)OC)OC(=O)C)OC)C(=O)CC(C3)(C)C
ZINC18266455,Validated,Vitas‐M,4.62,7,CC1=CC(N2c3c1cc(cc3/C(=C/4\C(=O)N=C(S4)NC(=O)C)/C2=O)OC)(C)C
ZINC01125223,Validated,ChemBridge,3.37,6,CC1=C([C@H](C2=C(N1)CCCC2=O)c3cccs3)C(=O)N4CCCCC4
ZINC01239456,Validated,ChemBridge,4.65,8,CC(=O)Nc1ccc(cc1)OCc2cc(ccc2OC)[C@@H]3Nc4ccccc4C(=O)N3c5ccccc5
ZINC02065666,Validated,ChemBridge,3.8,5,CCCCC(=O)NC1C2CC3CC(C2)CC1C3
ZINC00844246,Validated,ChemDiv,5.48,"7,3",CC1=NC2=C([C@@H](C1C(=O)OCCc3ccccc3)c4ccc(cc4)Cl)C(=O)CCC2
ZINC01132042,Validated,ChemBridge,6.25,5,Cc1ccc(cc1)C(=C2[C@@H]3C=C[C@H]2[C@@H]4[C@H]3C(=O)N(C4=O)c5cccc(c5)C(=O)C)c6ccc(cc6)C
ZINC01066443,Validated,ChemDiv,5.16,5,c1ccc(c(c1)NC(=O)COc2ccc(cc2[N+](=O)[O-])C(F)(F)F)Br
ZINC01134578,Validated,ChemBridge,6.01,5,CCOC(=O)c1c(nc(c(c1c2ccccc2)C#N)SC[C@]3(CCCC[C@@H]3SC)O)C
ZINC01051722,Validated,ChemBridge,5.68,5,Cc1c2cc(ccc2oc1C(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCCCC4)F
ZINC01456961,Validated,ChemBridge,4.44,5,COC(=O)c1ccc(cc1)[C@@H]2C3=C(C[C@@H](CC3=O)c4ccco4)Nc5ccccc5N2C(=O)C6CC6
ZINC01150180,Validated,ChemBridge,5.45,"7,3",c1ccc-2c(c1)CC3(CCCCC3)c4c2nc(n(c4=O)Cc5ccco5)SCC(=O)N
ZINC00991867,Validated,ChemBridge,4.68,5,c1ccc2c(c1)C(=O)N(C2=O)c3cccc(c3)C(=O)OCC(=O)c4ccc(cc4)F
ZINC00051416,Validated,ChemBridge,2.93,"7,3",Cc1nccn1S(=O)(=O)c2ccc(cc2)Cl
ZINC13154025,Validated,ChemBridge,3.68,10,c1cc(c(cc1N2C(=O)[C@H]3CC=CC[C@@H]3C2=O)C(=O)N)N4CCCCC4
ZINC01187392,Validated,ChemDiv,5.34,5,CC(=O)Oc1ccc(cc1)C(=O)Nc2cccc(c2)C(=O)c3cccc(c3)NC(=O)c4ccc(cc4)OC(=O)C
ZINC00766498,Validated,ChemBridge,4.18,5,Cc1ccc(cc1)N2[C@@H](Nc3ccccc3C2=O)c4cccc(c4)[N+](=O)[O-]
ZINC00160197,Validated,ChemBridge,4.03,5,c1ccc2c(c1)C(=O)N(C2=O)/N=C/c3cc(ccc3Cl)[N+](=O)[O-]
ZINC01196712,Validated,ChemBridge,4.54,5,Cc1ccc(c(c1)C(=O)c2ccccc2)NC(=O)c3ccc(cc3)S(=O)(=O)N4CCOCC4
ZINC16676346,Validated,ChemBridge,5.25,"10,5",CC1=C([C@H](C(=C(N1)SCC(=O)c2ccc(cc2Cl)Cl)C#N)c3cccs3)C(=O)C
ZINC00707994,Validated,ChemBridge,3.62,"7,3",CC1=NC2=C([C@H](C1C(=O)OC[C@@H]3CCCO3)c4cccc(c4)OC)C(=O)CCC2
ZINC01208728,Validated,ChemBridge,3.87,5,c1c(cc(cc1C(=O)N)NC(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C(=O)N
ZINC01210122,Validated,ChemBridge,6.17,"6,5",COc1ccccc1N2C(=O)c3ccc(cc3C2=O)C(=O)Nc4ccc(cc4)c5nnc(o5)c6ccccc6
ZINC01213157,Validated,ChemBridge,4.53,10,CC1=C([C@@H](C2=C(N1)CC(CC2=O)(C)C)c3cc(ccc3Cl)[N+](=O)[O-])C(=O)OC[C@@H]4CCCO4
ZINC01868102,Validated,ChemBridge,4.15,2,CC[C@H](C(=O)c1ccccc1)OC(=O)CNC(=O)c2ccc(cc2)N3C(=O)c4ccccc4C3=O
ZINC00998518,Validated,ChemBridge,5.55,5,CCC(=O)N1c2ccccc2NC3=C([C@H]1c4ccc(o4)c5ccc(cc5Cl)[N+](=O)[O-])C(=O)CC(C3)(C)C
ZINC08934271,Validated,ChemBridge,4.97,"10,5",CC1=C([C@@H](C(=C(N1)SCC(=O)Nc2ccccc2)C#N)c3ccccc3Cl)C(=O)C
ZINC00786356,Validated,ChemBridge,3.19,5,c1cc2c(cc1c3ccc4c(c3)C(=O)N(C4=O)CCO)C(=O)N(C2=O)CCO
ZINC01234952,Validated,ChemBridge,5.59,5,COc1ccc(cc1)NC(=O)c2cc(cc(c2)NC(=O)c3ccccc3)C(=O)Nc4ccc(cc4)OC
ZINC08741738,Validated,Life Chemicals,5.83,5,Cc1ccccc1N2[C@@H]([C@@H]3[C@@H](O2)C(=O)N(C3=O)c4c(c5c(s4)CCCC5)C#N)c6ccc(cc6)OC
ZINC18227453,Validated,Vitas‐M,5.76,5,CC[C@@H]1CCc2c(sc(c2C(=O)OCC)NC=C3C(=O)N(C(=O)N(C3=O)C)C)C1
ZINC01245439,Validated,Ambinter,5.83,5,CCOc1cc(ccc1OC(C)C)[C@H]2[C@@H]3CN(CC=C3C(=C(C2(C#N)C#N)N)C#N)C(=O)OC(C)(C)C
ZINC16739874,Validated,Life Chemicals,4.75,"6,5",Cc1ccc(cc1)S(=O)(=O)/N=C\2/N(C(=O)C(=CN(C)C)S2)C3CCCCC3
ZINC01250844,Validated,Vitas‐M,4.98,5,CCOc1ccc(cc1OCC)C[C@H]2c3cc(c(cc3CCN2C(=O)c4c(ncs4)C)OCC)OCC
ZINC01258241,Validated,Vitas‐M,4.07,5,CC1(OC[C@@H](O1)COc2c(c(nc(c2Cl)F)N3CCOCC3)F)C
ZINC09210816,Validated,IBScreen,4.52,"10,5",COc1cccc(c1)c2c3c([nH]n2)OC(=C([C@@H]3c4cc(c(cc4Br)OC)OC)C#N)N
ZINC01857441,Validated,ChemBridge,4.64,5,CCNC(=O)/C(=C/c1cn(nc1c2cccs2)c3ccccc3)/NC(=O)c4ccccc4
ZINC01295422,Validated,ChemBridge,2.05,5,COC(=O)c1ccc(cc1)N([C@H]2CS(=O)(=O)C=C2)C(=O)C(F)(F)F
ZINC00081634,Validated,ChemDiv,2.68,"7,3",Cc1cccn2c1nc(c(c2=O)C=O)NC
ZINC06781006,Validated,ChemBridge,3.13,"6,5",CC(=O)Nc1nc2cc3c(cc2s1)nc(s3)NC(=O)C
ZINC09041058,Validated,ChemBridge,4.68,5,c1ccc2c(c1)NC3=C([C@H](N2C(=O)C(F)(F)F)c4ccco4)C(=O)C[C@H](C3)c5cccc(c5)[N+](=O)[O-]
ZINC01308593,Validated,Pharmeks,4.87,"7,3",COc1ccc(cc1)[C@H]2CC3=C([C@@H](N(c4ccccc4N3)C(=O)C(F)(F)F)c5cc(c(c(c5)OC)OC)OC)C(=O)C2
ZINC06923965,Validated,Ambinter,3.85,5,Cc1ccc(cc1N2C(=O)[C@@H]3[C@H]4C=CC=NN4[C@@H]([C@@H]3C2=O)C(=O)C(C)(C)C)[N+](=O)[O-]
ZINC05163260,Validated,Life Chemicals,3.75,"10,5",c1ccc2c(c1)nc3c(n2)n(c(n3)c4ccc(cc4)[N+](=O)[O-])C[C@@H]5CCCO5
ZINC00281934,Validated,ChemBridge,3.92,5,CCOC(=O)c1c(c2c([nH]1)CCC(=C2Cl)C=O)C
ZINC01320772,Validated,Enamine,4.86,5,c1ccc(cc1)S(=O)(=O)c2c3c(nc(c(n3)C#N)C#N)n(c2N)Cc4ccc(cc4)F
ZINC01775277,Validated,ChemBridge,4.25,10,CCOCCOC(=O)[C@H](C)n1cnc2c(c1=O)c3c(s2)C[C@H](CC3)C
ZINC08763282,Validated,Bionet (Ryan Scientific),4.57,"10,5",Cc1nnc2n1c3cc(ccc3n(c2=O)CCNc4c(cc(c[nH+]4)C(F)(F)F)Cl)Cl
ZINC01386314,Validated,Bionet (Ryan Scientific),3.5,10,Cc1ccc(n1c2ccc(cc2)c3ccnc4n3ncn4)C
ZINC01015500,Validated,ChemBridge,5.31,5,COc1ccc(cc1OC)C(=O)/C=C/Nc2ccc(c(c2)C(F)(F)F)Cl
ZINC01015500,Validated,ChemBridge,5.31,5,COc1ccc(cc1OC)C(=O)/C=C\Nc2ccc(c(c2)C(F)(F)F)Cl
ZINC00367451,Validated,Specs,2.46,5,COC(=O)/C=C/CN1C(=O)c2ccccc2C1=O
ZINC01156766,Validated,ChemBridge,3.48,5,C[C@H](c1ccccc1)NC(=O)C2CCN(CC2)C(=O)c3ccc(cc3)F
ZINC01392159,Validated,Bionet (Ryan Scientific),4.94,5,C[C@@]1([C@H]2NC(=S)N(N2C(=S)N1)c3ccc(cc3)Cl)c4ccc(cc4)Cl
ZINC05524751,Validated,Bionet (Ryan Scientific),1.59,"6,5",CN(C)C(=C(C#N)C#N)/C=C\Nc1cc(cc(c1)Cl)Cl
ZINC05524751,Validated,Bionet (Ryan Scientific),1.59,"6,5",CN(C)C(=C(C#N)C#N)/C=C/Nc1cc(cc(c1)Cl)Cl
ZINC01401816,Validated,Keyorganic,5.83,"7,3",c1cc(ccc1C(=O)Nc2cc3c(n(c2=O)CCNc4c(cc(cn4)C(F)(F)F)Cl)CCCC3=O)Cl
ZINC01403110,Validated,Bionet (Ryan Scientific),4.09,5,c1cc(sc1)C[C@H](C#N)c2c(cc(cn2)C(F)(F)F)Cl
ZINC01403863,Validated,Bionet (Ryan Scientific),5.83,5,C[C@H](C(=O)c1cn(nn1)c2ccc(cc2)OC(F)(F)F)Oc3ccc(cc3F)F
ZINC01404771,Validated,Keyorganic,4.38,10,CCOC(=O)[C@@H]1[C@@H]2[C@H](C(=N1)C3=C(c4ccccc4C3=O)[O-])C(=O)N(C2=O)N(C)c5c(cc(cn5)C(F)(F)F)Cl
ZINC01405175,Validated,Bionet (Ryan Scientific),5.63,"10,5",Cc1c(c(=O)ccn1Cc2ccc(cc2)Cl)OCc3c(cccc3Cl)F
ZINC00833863,Validated,ChemBridge,4.55,5,CC1(CC2=C([C@@H](C(=C(O2)N)C#N)c3ccc(cc3)C(F)(F)F)C(=O)C1)C
ZINC01425882,Validated,Chemical Block,3.3,"6,5",CCOc1ccc(cc1OCC)CC(=O)C2=C(CCCC2=O)N3CCCC3
ZINC01426971,Validated,Chemical Block,5.06,"10,5",Cc1c(c2c(s1)[C@H](C(=C(O2)N)C#N)c3cc(cs3)Br)C(=O)OC
ZINC01427722,Validated,Chemical Block,4.49,"6,5",COc1cc(c(cc1OC)NC(=O)COc2c(non2)N3CCOCC3)C(=O)OC
ZINC01429011,Validated,Chemical Block,2.74,"10,5",CN(C)c1nc(nc(n1)N)COC(=O)c2ccc(cc2)n3cnnc3
ZINC01430778,Validated,Chemical Block,4.55,5,COc1ccc(c(c1)OC)[C@@H]2CC(=O)N(C3=C2C(=O)CCC3)c4c(c5c(s4)CCCC5)C#N
ZINC01430947,Validated,ChemBridge,5.43,5,COc1cccc(c1)OCCn2c(=O)c3cc4c(cc3c2=O)c(=O)n(c4=O)CCOc5cccc(c5)OC
ZINC01435754,Validated,Ambinter,3.37,10,CC(C)(C)C(=O)[C@H]1[C@@H](C([C@@H]2N1c3ccccc3C=C2)(C#N)C#N)c4ccsc4
ZINC01438543,Validated,Vitas‐M,5.44,10,CC1=C([C@H](C2=C(N1)C[C@@H](CC2=O)c3cccs3)c4ccc5c(c4)OCO5)C(=O)OCCc6ccccc6
ZINC01439744,Validated,Vitas‐M,5.81,10,CC1=C([C@H](C2=C(N1)C[C@H](CC2=O)c3ccccc3OC)c4ccc(cc4)OC(=O)C)C(=O)OC5CCCC5
ZINC01440693,Validated,Ambinter,4.31,5,CCOc1cc(c(cc1OCC)NC(=O)c2cc(c(cc2Cl)Cl)S(=O)(=O)N3CCOCC3)C#N
ZINC01440820,Validated,Specs,4.34,"6,5",c1ccc(c(c1)COc2ccccc2[C@@H]3c4c(c(=O)cc(o4)CO)OC(=C3C#N)N)Cl
ZINC01061471,Validated,ChemBridge,3.75,8,CC(C)CNc1nc(nc(n1)SCC(=O)OC)N2CCOCC2
ZINC01446574,Validated,Vitas‐M,3.95,2,Cc1ccccc1C(=O)N[C@H](C(Cl)(Cl)Cl)NC(=S)Nc2ccccc2OC
ZINC01449296,Validated,Vitas‐M,5.04,5,CC1=C(C(C(=C(N1)C)C(=O)OC)c2cn(nc2c3cccc(c3)[N+](=O)[O-])c4ccccc4)C(=O)OC
ZINC01450871,Validated,Vitas‐M,3.99,5,Cc1c(c(=O)n(n1C)c2ccccc2)N[C@H](C(Cl)(Cl)Cl)NC(=O)c3cccc(c3)[N+](=O)[O-]
ZINC01457114,Validated,Vitas‐M,4.19,10,C[C@H]1CN(C[C@@H](O1)C)C(=O)c2cc(nc3c2cccc3)c4ccc5c(c4)OCO5
ZINC01463390,Validated,Enamine‐REAL,2.95,"10,5",Cc1ccc(cc1C)n2c(cc(=O)cc2C)C
ZINC01470650,Validated,ChemBridge,4.48,8,CCc1cccc(c1N([C@@H](C)COC)C(=O)Cn2c3ccccc3nc2[C@@H](C)O)C
ZINC18115187,Validated,Vitas‐M,2.55,"10,5",Cc1cc2c(c(=O)[nH]1)[C@H](C(=C(O2)N)C#N)c3cc(c(c(c3)OC)OC)OC
ZINC01514859,Validated,Enamine,3.14,"10,5",c1ccc(cc1)C(=O)N2CCCC[C@H](C2=O)Sc3nnc4n3cccc4
ZINC01515530,Validated,Enamine,4.17,5,N1(C(=O)C2C3c4c(cccc4)C(C2C1=O)c1c3cccc1)CCOC(=O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC
ZINC00094814,Validated,ChemBridge,"4.00",5,Cc1ccc(c(c1)C)NC(=O)c2c(ccc(c2OC)Cl)Cl
ZINC00243170,Validated,Specs,1.74,8,CCOC(=O)c1c(sc(n1)N)C
ZINC01742482,Validated,Enamine,5.7,10,c1ccc(cc1)C(=O)Oc2ccc3cc(c(=O)oc3c2)c4nc5ccccc5s4
ZINC01776464,Validated,ChemBridge,2.93,"7,3",CC(C)CCn1c2c(nc1NCCO)n(c(=O)n(c2=O)C)C
ZINC01787803,Validated,Specs,6.95,"7,3",CCOC(=O)C1=C(n2c(=O)/c(=C/c3ccc(cc3)C(=O)OC)/sc2=C([C@H]1c4ccc(cc4)C(=O)OC)C(=O)OC)N
ZINC01798674,Validated,Pharmeks,5.49,"7,3",c1cc(ccc1CON2[C@H]3CCCC[C@@H]3N(C(=O)C2=O)OCc4ccc(cc4)Br)Br
ZINC01802740,Validated,ChemBridge,4.59,"6,5",Cc1cc(c(n1CCOC)C)C(=O)CSc2c3c(c(sc3ncn2)C)C
ZINC01803312,Validated,ChemBridge,5.79,"6,5",C[C@@H]1CCc2c(sc3c2c(ncn3)SCC(=O)Nc4cc(ccc4C(=O)OC)C(=O)OC)C1
ZINC00357200,Validated,ChemBridge,3.9,5,Cc1ccc(cc1C)NC(=O)[C@@H]2CCCN2C(=O)OC(C)(C)C
ZINC01812703,Validated,Pharmeks,6.27,"7,3",CC(=O)[C@@]1(CC[C@@H]2[C@]1(CC[C@H]3[C@@H]2CCC4=CC(=CC[C@@]34C)NOCC(=O)N[C@@H](c5ccccc5)C(=O)OC)C)O
ZINC02310748,Validated,ChemBridge,5.1,10,CCCC[C@]1(NC(=S)N(N1)c2ccc(cc2)C)c3ccccc3
ZINC01837680,Validated,Enamine,3.2,"10,5",C1CCc2c(c3c(nc(nc3s2)SCC(=O)N(CCO)CCO)N)C1
ZINC00273616,Validated,ChemBridge,2.64,5,Cc1cc2c(c(c1C)[N+](=O)[O-])nsn2
ZINC01860590,Validated,IBScreen,3.25,"7,3",CCOP(=O)(Cc1ccc(o1)CP(=O)(OCC)OCC)OCC
ZINC18130691,Validated,Vitas‐M,5.24,10,COc1ccc(cc1)/N=C/c2ccc(cc2)/C=N/c3ccc(cc3)OC
ZINC04038619,Validated,IBScreen,4.48,8,CCCc1c2c([nH]n1)OC(=C([C@@]23c4ccccc4N(C3=O)CC(=O)N)C(=O)OC)N
ZINC02880792,Validated,ChemBridge,4.34,"7,3",c1ccc2c(c1)ncc(n2)c3cccc(c3)NC(=O)c4cccs4
ZINC01882819,Validated,Pharmeks,6.47,"7,3",c1ccc(cc1)N2[C@@H]([C@@H]3[C@H](O2)C(=O)N(C3=O)c4ccc(cc4)Cl)c5ccccc5OS(=O)(=O)c6ccccc6
ZINC03234159,Validated,Enamine,3.02,5,CCCC(=O)OCC(=O)Nc1ccc(cc1Cl)F
ZINC01172022,Validated,ChemBridge,6.36,"6,5",c1ccc2c(c1)/C(=C/3\C(=O)N(C(=S)S3)Cc4ccco4)/C(=O)N2CC(=O)Nc5ccc(cc5)F
ZINC03399146,Validated,ChemBridge,3.3,5,Cc1ccccc1c2nc(on2)CCl
ZINC00308399,Validated,ChemBridge,4.58,2,c1ccc(cc1)CSC[C@@H]2C(=O)N(C(=S)N2)C3CCCCC3
ZINC12413552,Validated,Life Chemicals,3.74,5,CCOC(=O)N1CCN(CC1)C(=O)c2ccc(cc2)N3C(=O)[C@H]4CCCC[C@@H]4C3=O
ZINC01745390,Validated,ChemBridge,5.36,5,CCOCCOC(=O)c1ccc(cc1)NC(=O)COc2ccc(cc2Br)C
ZINC01953737,Validated,Enamine,5.96,5,COc1ccc(c(c1)NC(=O)c2ccc(cc2)NC3=C(C(=O)N(C3=O)C4CCCCC4)Cl)OC
ZINC05841926,Validated,Enamine‐REAL,4.41,"6,5",N1(C(=CC=CC(=O)C(F)(F)F)C(c2c1cccc2)(C)C)C
ZINC01506334,Validated,ChemBridge,4.79,"6,5",C[C@H]1CCc2c(sc(n2)NC(=O)c3ccc(c(c3)F)F)C1
ZINC02026866,Validated,Specs,5.56,"6,5",CC1(C(=NC(=S)N1c2ccc(cc2)OC)N[C@@H]([C@H](n3cncn3)Oc4ccc(cc4)Cl)C(C)(C)C)C
ZINC02030843,Validated,ChemDiv,6.28,5,C1(=C(NC(=C(C1c1sccc1)C#N)SCCCCCC)C)C(Nc1c(cccc1)OC)=O
ZINC02038455,Validated,Enamine,5.69,5,C1C=C[C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ZINC18141967,Validated,ChemBridge,4.66,10,Cc1c(c(=O)n(n1C)c2ccccc2)N/C=C\3/c4ccc(cc4C(=O)N(C3=O)Cc5ccco5)OC
ZINC02064506,Validated,Specs,3.04,5,CCCCC(=O)Nc1ccc(c(c1)[N+](=O)[O-])F
ZINC13302512,Validated,ChemBridge,1.61,10,CCO/C(=C/c1c(nc2c(n1)non2)[O-])/[O-]
ZINC13302512,Validated,ChemBridge,1.61,10,CCO/C(=C/c1c(nc2c(n1)non2)[O-])/O
ZINC00684489,Validated,ChemBridge,3.95,"7,3",CCC(=O)N1c2ccccc2-c3c(nc(nn3)SC)O[C@H]1c4ccc(c(c4)OC)OCC
ZINC02086271,Validated,ChemBridge,4.59,5,c1c(cc2c(c1)OCO2)/C=C/C(=O)NCCCCNC(=O)/C=C/c3cc4c(cc3)OCO4
ZINC03284659,Validated,ChemBridge,4.64,5,COc1cc(cc(c1)OC)C(=O)Oc2ccc(cc2)C(=O)OC
ZINC08450623,Validated,Specs,5.45,"10,5",COc1ccc(cc1CSc2ccccn2)[C@H]3C(=C(N(C4=C3C(=O)CCC4)c5ccccc5C(F)(F)F)N)C#N
ZINC00731980,Validated,Vitas‐M,3.68,5,CC(C)C(=O)N[C@@H](C(Cl)(Cl)Cl)Oc1ccc(cc1)C=O
ZINC02107492,Validated,Specs,5.32,"7,3",CC(C)[C@@H](C(=O)Nc1nc(cs1)c2ccc(cc2)S(=O)(=O)N3CCOCC3)N4C(=O)c5ccccc5C4=O
ZINC08451187,Validated,Specs,5.43,10,CC(C)OC(=O)C1=C(OC(=C([C@@H]1c2ccncc2)C#N)N)CSc3c(cc4c(n3)CCCCC4)C#N
ZINC02132529,Validated,Specs,4.25,"6,5",Cc1ccccc1OCC(=O)NCCNC(=O)COc2ccccc2C
ZINC02141091,Validated,Specs,4.43,"6,5",CC(=O)N1CC(=O)N(C1=S)CC(=O)N(Cc2ccccc2)c3nc(cs3)c4ccccc4
ZINC02151966,Validated,Specs,4.51,5,COc1cc(cc(c1OC)OC)[C@@H]2C3=C(CCCC3=O)N(C(=C2C(=O)c4ccccc4)N)c5ccccc5C(F)(F)F
ZINC02172705,Validated,Specs,4.52,"6,5",Cc1nnc(s1)N2[C@@H](c3c(=O)c4ccccc4oc3C2=O)c5cccc(c5)OCC=C
ZINC02076381,Validated,ChemBridge,3.72,5,CCOc1cc(cc(c1OCC#C)I)C=C2C(=O)N(C(=S)N(C2=O)C)C
ZINC00191380,Validated,ChemBridge,2.89,5,COc1nc(nc(n1)Cl)Nc2ccccc2
ZINC00865538,Validated,ChemBridge,4.61,5,c1cc(cc(c1)Oc2ccc3c(c2)C(=O)N(C3=O)CCO)Oc4ccc5c(c4)C(=O)N(C5=O)CCO
ZINC08469096,Validated,Vitas‐M,4.16,5,Cc1cccc(c1)n2c(cn3c2nc4c3c(=O)n(c(=O)n4C)C)c5cccc(c5)OC
ZINC02312992,Validated,Vitas‐M,6.59,5,CCc1ccc(cc1)c2csc(n2)/C(=C/Nc3ccc4c(c3)OCO4)/C#N
ZINC13464795,Validated,ChemBridge,4.91,"6,5",CCN(c1nnc(s1)c2ccc(cc2)Cl)C(=O)CN3C(=O)[C@H]4CCCC[C@@H]4C3=O
